project,mainline_commit,backport_commit,git_apply_success,patch_type,error
elasticsearch,d59a0d9d44fb0cf553cb33a7a5e0da1f0b541c6b,55ac92975e6ec0d714cfaa80d2d4a883bed9b78e,True,TYPE-II,
elasticsearch,aba25c628a52161a1d2c73c1868a437ad5dac6a2,c0ce37d129b605da91462bf89231a0109aa417d8,False,TYPE-II,error: patch failed: x-pack/plugin/migrate/build.gradle:17
elasticsearch,5e953dc7c3881690c61ef39bbef0ae88af35647b,f146691fc3d4db06881c328ee0b6469c0c1b74eb,True,TYPE-I,
elasticsearch,0fabaf7716a700c671355e4069366257524f0f26,9eccda25ad9ffbcd8ca8d262519b80bdbb675b18,True,TYPE-I,
elasticsearch,01edab58ff2941aa6b80f42a028d27b878313eee,7637975f6d9adcf512e7c457c6aff3a008af7c57,True,TYPE-I,
elasticsearch,1f2824c5fccedc71cec1162e95f50eb308119dee,30dd0b2e212c0ec5b39ffecfa72982eecc342a7f,True,TYPE-II,
elasticsearch,242b841402813e0905797c97965f2c21760861d0,90569c6b10cac00a38ad0bc2d3858a9d7af7863d,False,TYPE-II,error: patch failed: x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/LogicalPlanBuilder.java:11
elasticsearch,c9cce2cfaa3cd2e1fc01f895881605a20bde4367,f766086215af08175f8ca4bdfecce8d09b0e87d8,True,TYPE-I,
elasticsearch,4783d1f991633dbc3b7397fe13c63b6b7d70dc37,a9cb5cd575bf8c30000b5af404a7087294f1a858,True,TYPE-I,
elasticsearch,969cd70aa00f0c104b5b94dabee05ac84be0e0d9,8d96ccd37609a4d81e1048489fa63ce99124fe96,True,TYPE-I,
elasticsearch,45ae0718cc6f52c78c9dc96380d623be9917ba07,d49517b6741b61096df31ba3fa4e2fe38b593bc6,False,TYPE-V,error: patch failed: x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/deprecation/DeprecatedIndexPredicate.java:20
elasticsearch,6f5f4ae5fac004f4d3aab9f28aca63552b19cb18,ba578203560e42ead61a6deba84bb9ca78268d60,True,TYPE-V,
elasticsearch,110b2060a15dce0236c47345de094c4dae05e991,88f07a84fc4b8519fcf8a1ed8da4dca30fc51c46,False,TYPE-III,error: patch failed: x-pack/plugin/deprecation/src/main/java/org/elasticsearch/xpack/deprecation/IndexDeprecationChecks.java:15
elasticsearch,43e3e24d075332ed8c697113236ee4126fd56603,ddd0ffa8a14d27839a2497d6595c46c84cf70099,False,TYPE-I,error: patch failed: modules/transport-netty4/src/internalClusterTest/java/org/elasticsearch/http/netty4/Netty4IncrementalRequestHandlingIT.java:93
elasticsearch,45e80f55be1b5db352cccdd047a44ae106462942,dd5f141df01149645cf939e5a0bffc03a1c09afd,True,TYPE-I,
elasticsearch,f99f52e60deaec8f4211ff36e8bee7c9ca8ac160,9e8bc7ee931f15bba6afb7864469add893b856e4,True,TYPE-I,
elasticsearch,7ac250077300e4b206e740da166fd3eec9dac389,dc3aaf1dc10d0c22ae867f118a51209555908055,False,TYPE-II,error: patch failed: x-pack/plugin/migrate/src/main/java/org/elasticsearch/xpack/migrate/action/ReindexDataStreamIndexTransportAction.java:28
elasticsearch,1f182e7a2a86ed74bc3f48360cc7bc0acb07cffe,7325c6c1dae40e20f63bf2f7a05bfed3e241435c,True,TYPE-V,
elasticsearch,3e12016a9795f1307e848d4d295bd64725d35376,b74832610d396d75059148a70f26d0a1188b1418,True,TYPE-I,
elasticsearch,d6133235a339eb99a146a6ff3ad6958fe0d63cf6,1f572ad4d393cb5dae04467c33f293553ae1dacd,True,TYPE-II,
elasticsearch,16d8aaf3865588a323b04d281985bd8daf569daf,1c5c3b0a19bf370e06a2d2a13c92fa76203fbaaa,True,TYPE-I,
